id,title_pt,date_pt,date_precision,primary_type,credit_pt,rights_status,site_visible,portal_enabled,museum_enabled,totem_eligibility,panel_eligibility,qr_target_path,qr_status,original_asset,print_source
MM202601,"Um aspecto do cortejo da Festa da Pinha, em Estoi",1909-05-02,day,festa,Arquivo Nacional da Torre do Tombo — Foto Artística Samorrinha. Autor: José Viegas Samorrinha. Código de referência: PT/TT/SAM/A/001/000016.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202601,pending-public-base-url,public/media/museum/originals/MM202601.jpg,public/media/museum/originals/MM202601.jpg
MM202602,"Memórias de juventude — Estoi, década de 1950",ca. 1950s,decade,juventude,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202602,pending-public-base-url,public/media/museum/originals/MM202602.jpg,public/media/museum/originals/MM202602.jpg
MM202603,Achados romanos de Milreu,1966-1967,range,escavações,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202603,pending-public-base-url,public/media/museum/originals/MM202603.jpg,public/media/museum/originals/MM202603.jpg
MM202604,Figura popular de Estoi — Ti’ Jacinto,Data não determinada,unknown,figura comunitária,Fotografia cedida por Luís Barriga; descrição divulgada na página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202604,pending-public-base-url,public/media/museum/originals/MM202604.jpg,public/media/museum/originals/MM202604.jpg
MM202605,Visita de jornalistas ingleses a Milreu,1913,year,visita,"Ilustração Portuguesa, 2.ª série, n.º 368, 10 de março de 1913; Hemeroteca Digital; referência divulgada pela página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202605,pending-public-base-url,public/media/museum/originals/MM202605.jpg,public/media/museum/originals/MM202605.jpg
MM202606,Escavações arqueológicas nas Ruínas de Milreu,1897,year,escavações,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202606,pending-public-base-url,public/media/museum/originals/MM202606.jpg,public/media/museum/originals/MM202606.jpg
MM202607,Bustos romanos de Milreu,1966,year,escavações,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202607,pending-public-base-url,public/media/museum/originals/MM202607.jpg,public/media/museum/originals/MM202607.jpg
MM202608,"Edifício de cultos, potencialmente em 1910",potencialmente 1910,year,memória comunitária,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202608,pending-public-base-url,public/media/museum/originals/MM202608.jpg,public/media/museum/originals/MM202608.jpg
MM202609,Pessoas em frente ao edifício de cultos,Ano desconhecido,unknown,memória comunitária,"Página ALDEIA DE ESTOI — CULTURA E PATRIMÓNIO, gerida por Luís Barriga.",authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202609,pending-public-base-url,public/media/museum/originals/MM202609.jpg,public/media/museum/originals/MM202609.jpg
MM202610,Poesia nas ruínas,Data não determinada,unknown,literatura,Coleção de José António Paula Brito.,authorized-for-project-publication,true,true,true,candidate,candidate,/museu/memorias/MM202610,pending-public-base-url,public/media/museum/originals/MM202610.jpg,public/media/museum/originals/MM202610.jpg
